alim_nom_fr;Energie, R�glement UE N� 1169/2011 (kJ/100 g);Energie, R�glement UE N� 1169/2011 (kcal/100 g);Energie, N x facteur Jones, avec fibres  (kJ/100 g);Energie, N x facteur Jones, avec fibres  (kcal/100 g);Eau (g/100 g);Prot�ines, N x facteur de Jones (g/100 g);Prot�ines, N x 6.25 (g/100 g);Glucides (g/100 g);Lipides (g/100 g);Sucres (g/100 g);Fructose (g/100 g);Galactose (g/100 g);Glucose (g/100 g);Lactose (g/100 g);Maltose (g/100 g);Saccharose (g/100 g);Amidon (g/100 g);Fibres alimentaires (g/100 g);Polyols totaux (g/100 g);Cendres (g/100 g);Alcool (g/100 g);Acides organiques (g/100 g);AG satur�s (g/100 g);AG monoinsatur�s (g/100 g);AG polyinsatur�s (g/100 g);AG 4:0, butyrique (g/100 g);AG 6:0, capro�que (g/100 g);AG 8:0, caprylique (g/100 g);AG 10:0, caprique (g/100 g);AG 12:0, laurique (g/100 g);AG 14:0, myristique (g/100 g);AG 16:0, palmitique (g/100 g);AG 18:0, st�arique (g/100 g);AG 18:1 9c (n-9), ol�ique (g/100 g);AG 18:2 9c,12c (n-6), linol�ique (g/100 g);AG 18:3 c9,c12,c15 (n-3), alpha-linol�nique (g/100 g);AG 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100 g);AG 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100 g);AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100 g);Cholest�rol (mg/100 g);Sel chlorure de sodium (g/100 g);Calcium (mg/100 g);Chlorure (mg/100 g);Cuivre (mg/100 g);Fer (mg/100 g);Iode (�g/100 g);Magn�sium (mg/100 g);Mangan�se (mg/100 g);Phosphore (mg/100 g);Potassium (mg/100 g);S�l�nium (�g/100 g);Sodium (mg/100 g);Zinc (mg/100 g);R�tinol (�g/100 g);Beta-Carot�ne (�g/100 g);Vitamine D (�g/100 g);Vitamine E (mg/100 g);Vitamine K1 (�g/100 g);Vitamine K2 (�g/100 g);Vitamine C (mg/100 g);Vitamine B1 ou Thiamine (mg/100 g);Vitamine B2 ou Riboflavine (mg/100 g);Vitamine B3 ou PP ou Niacine (mg/100 g);Vitamine B5 ou Acide pantoth�nique (mg/100 g);Vitamine B6 (mg/100 g);Vitamine B9 ou Folates totaux (�g/100 g);Vitamine B12 (�g/100 g)
Jus multifruit - base raisin, standard;-;-;-;-;-;0,5;0,5;13;0;13;-;-;-;-;-;1,89;-;0,3;-;0,0025;0;-;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,0025;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Jus multifruit - base orange, standard;-;-;-;-;88,6;0,7;0,7;10,4;0,16;10,1;3,3;-;2,65;0,5;0,5;3,1;-;0,44;-;0,35;0;-;0,05;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,069;-;-;-;-;-;11,9;-;-;152;-;1,55;-;-;50;-;-;-;-;20,8;-;-;0,2;-;-;19,2;-
Jus de grenade, frais;-;-;-;-;85,4;0,2;0,2;11,6;0;11,6;-;-;-;-;-;-;0;0;-;0,21;0;-;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0,0025;3;-;-;0,2;-;-;-;8;200;-;1;0,1;0;33;0;0,55;-;-;8;0,02;0,03;0,2;-;0,31;6;-
Jus multifruit - base pomme, standard;-;-;-;-;87,8;0,33;0,33;12,2;0,1;10,1;4,66;-;2,97;0,5;0,5;2,43;-;0,5;-;0,21;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;-;-;-;-;-;5,94;-;-;99,1;-;0;-;-;207;-;-;-;-;25,4;-;-;0,38;-;-;16,2;-
Jus multifruit - base pomme, multivitamin�;-;-;-;-;88,2;0,33;0,33;11;0,1;10,2;5,2;-;2,9;0,5;0,5;2,04;-;0,5;-;0,33;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5,9;-;-;69,5;-;-;-;-;207;-;-;-;-;26,2;-;-;0,36;-;-;20,7;-
Jus de fruit(s) et de l�gume(s), pur jus;-;-;-;-;-;0,85;0,85;9,5;0;8,6;-;-;-;-;-;-;-;0,7;-;0,0001;0;-;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;-;-;-;-;-;-;-;-;-;-;0,1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Jus de tomate, pur jus (aliment moyen);91,7;21,7;91,7;21,7;94,1;0,88;0,88;3,72;0,14;3,72;1,3;;1,09;;;0,17;0;0,4;0,0055;0,86;0;0,4;0,035;;;;;;;;;;;;;;;;;;0,45;6,54;;;;0,3;13,1;;21,8;283;;175;;;;;;;;;;;;;;;
Jus multifruit, � base de concentr�, standard;-;-;-;-;87,8;0,52;0,52;11,2;0,15;10,8;4,62;-;3,04;-;-;3,16;0;0,62;-;0,2;0;-;0,021;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0,02;11,1;-;0,05;0,1;10;8,2;0,2;12,1;148;0,5;8,57;0,05;0;449;0;0,53;-;-;17,8;0,11;0,08;0,93;0,31;0,17;18,8;0
Jus d'orange, pur jus;193;45,4;193;45,4;88,2;0,61;0,61;9,61;0,11;9,61;2,56;0;2,47;0;0,098;3,46;0;0,28;0;0,36;0;1;0,053;0,014;0,019;0;0;0;0;0;0;0,018;0;-;-;-;-;0;0;0;0,012;0,41;-;0,022;0,068;0,7;10;0,021;16,5;165;-;4,81;0,045;0;26,2;0;0,2;0,1;-;37;0,08;0,021;0,3;0,24;0,1;30;0
Jus multifruit, � base de concentr�, multivitamin�;-;-;-;-;-;0,29;0,29;10,8;0,091;10,3;-;-;-;-;-;2,06;-;0,27;-;0,019;0;-;0,051;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,019;-;-;-;-;-;-;-;-;-;-;7,5;-;-;-;-;2,15;-;-;16,2;0,3;0,36;3,84;1,28;0,42;45,6;-
